City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Moerai,PF,74.12,few clouds,-22.4333,-151.3333,Le Manotel
1,Pemangkat,ID,79.09,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
11,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Finschhafen,PG,78.62,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
13,Rikitea,PF,72.23,clear sky,-23.1203,-134.9692,People ThankYou
16,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
17,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
23,Mbandaka,CD,72.27,overcast clouds,0.0487,18.2603,Guest House Epervier
30,Mercedes,AR,74.79,light rain,-34.6515,-59.4307,Posada del Inti Centro
38,Maple Creek,CA,71.65,overcast clouds,49.9168,-109.4848,Willowbend Campground & Cabins
59,Samarai,PG,80.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
65,Laguna,US,72.45,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
67,Forestville,US,86.34,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
77,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Teguise,ES,71.82,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
87,Alcantara,BR,88.0,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
91,Bonthe,SL,75.15,light rain,7.5264,-12.505,Bonthe Holiday Village
102,Beoumi,CI,74.48,scattered clouds,7.6736,-5.5764,Hôtel le Goly
130,Sao Filipe,CV,78.3,few clouds,14.8961,-24.4956,Hotel Xaguate
132,Gulbarga,IN,76.15,overcast clouds,17.3333,76.8333,OYO 37176 N K Comforts
134,Fethiye,TR,78.67,clear sky,36.6217,29.1164,Club & Hotel Letoonia
141,Balingasay,PH,81.03,overcast clouds,16.3573,119.8564,Rock Garden Resort
142,Jaisalmer,IN,88.47,clear sky,26.9147,70.9181,Hotel Fifu
148,Clearwater,US,87.93,overcast clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
155,Omboue,GA,76.08,overcast clouds,-1.5746,9.2618,Hotel Olako
160,Dubovskoye,RU,83.26,overcast clouds,47.4092,42.7575,Anzhi
161,Batticaloa,LK,80.69,overcast clouds,7.7102,81.6924,Grand Star Guest House
167,Kovilpatti,IN,82.27,overcast clouds,9.1667,77.8667,Ananda Lodge
171,Mangit,UZ,76.71,scattered clouds,40.5971,70.9607,Dangara Hotel
181,Jacqueville,CI,76.12,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
184,Abadan,IR,85.95,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
185,San Cristobal,VE,84.38,few clouds,7.7669,-72.225,Pirineos
190,Hasaki,JP,79.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
193,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
204,State College,US,82.81,broken clouds,40.7934,-77.86,Hampton Inn State College
205,Maldonado,UY,70.99,overcast clouds,-34.6667,-54.9167,La Cimarrona
218,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
222,Takoradi,GH,75.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
223,Kijang,KR,78.53,heavy intensity rain,35.2442,129.2139,Samyang Beach Villa
226,Los Llanos De Aridane,ES,73.15,broken clouds,28.6585,-17.9182,Valle Aridane
236,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Hotel Branco I
238,Bubaque,GW,78.66,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Topolobampo,MX,88.86,broken clouds,25.6,-109.05,Hotel Marina Topolobampo
246,Wanning,CN,77.65,overcast clouds,18.8003,110.3967,Paradise Hotel
247,Terrasini,IT,75.22,clear sky,38.146,13.0844,Florio Park Hotel
252,Saint George,US,88.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
254,Mana,GF,85.96,overcast clouds,5.6592,-53.7767,LE SAMANA
264,Sumbe,AO,72.05,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
277,Porto Novo,BJ,76.77,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
278,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
283,Nabire,ID,74.75,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
285,Monroe,US,83.26,broken clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
296,Tura,IN,75.45,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
298,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
309,Freeport,US,86.49,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
318,Vaitape,PF,78.49,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
