City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,44.26,49,20,10.36,AR,2022-09-14 23:37:43
1,Fort Nelson,58.8053,-122.7002,74.79,27,75,8.05,CA,2022-09-14 23:36:19
2,Arraial Do Cabo,-22.9661,-42.0278,69.76,88,75,9.22,BR,2022-09-14 23:37:44
3,Hithadhoo,-0.6,73.0833,80.89,71,66,3.18,MV,2022-09-14 23:37:44
4,Roald,62.5833,6.1333,53.76,81,75,13.8,NO,2022-09-14 23:37:44
5,Khatanga,71.9667,102.5,34.05,97,100,13.4,RU,2022-09-14 23:37:45
6,Rantepao,-2.9701,119.8978,69.06,87,100,1.59,ID,2022-09-14 23:37:45
7,Avarua,-21.2078,-159.775,80.65,65,20,19.57,CK,2022-09-14 23:37:46
8,Taoudenni,22.6783,-3.9836,96.37,8,0,7.52,ML,2022-09-14 23:37:46
9,Atuona,-9.8,-139.0333,77.0,71,12,15.03,PF,2022-09-14 23:37:46
10,Yeniseysk,58.4497,92.1703,41.56,82,100,3.2,RU,2022-09-14 23:37:47
11,Bluff,-46.6,168.3333,46.8,75,95,30.67,NZ,2022-09-14 23:37:47
12,Tuktoyaktuk,69.4541,-133.0374,44.6,57,20,20.71,CA,2022-09-14 23:37:47
13,Rikitea,-23.1203,-134.9692,70.93,73,8,13.51,PF,2022-09-14 23:33:49
14,Vaini,-21.2,-175.2,82.56,74,20,13.8,TO,2022-09-14 23:37:48
15,Busselton,-33.65,115.3333,56.23,78,88,13.18,AU,2022-09-14 23:35:25
16,Bathsheba,13.2167,-59.5167,81.21,83,20,4.61,BB,2022-09-14 23:37:49
17,Quesnel,52.9999,-122.5029,73.9,21,0,3.44,CA,2022-09-14 23:37:49
18,Jamestown,42.097,-79.2353,67.64,50,75,8.05,US,2022-09-14 23:37:49
19,Angoche,-16.2325,39.9086,73.4,74,84,11.01,MZ,2022-09-14 23:37:50
20,Punta Arenas,-53.15,-70.9167,44.71,42,0,11.5,CL,2022-09-14 23:37:50
21,Mataura,-46.1927,168.8643,46.47,59,37,10.18,NZ,2022-09-14 23:33:50
22,Ponta Do Sol,32.6667,-17.1,74.03,80,7,3.49,PT,2022-09-14 23:37:51
23,Butaritari,3.0707,172.7902,81.12,70,63,14.0,KI,2022-09-14 23:33:47
24,Pangnirtung,66.1451,-65.7125,39.79,99,100,4.21,CA,2022-09-14 23:37:51
25,Kodiak,57.79,-152.4072,54.91,76,100,0.0,US,2022-09-14 23:37:52
26,Walvis Bay,-22.9575,14.5053,55.09,100,52,4.61,NA,2022-09-14 23:34:33
27,Castro,-24.7911,-50.0119,56.19,98,100,3.27,BR,2022-09-14 23:37:53
